"","AAPL","AMGN","AXP","BA","CAT","CRM","CSCO","CVX","DIS","DOW","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PG","TRV","UNH","V","VZ","WBA","WMT"
"1996-02-12",0.253348,15.6875,13.749504,41.625,16.90625,NA,5,28.0625,20.798708,NA,NA,10.305555,28.8125,7.279297,24.71875,22.541666,19.90625,27.0625,34.625,35.3125,6.21875,4.289063,21.65625,29.25,8.390625,NA,33.443565,9.09375,11.375
"1996-02-13",0.251116,15.65625,13.713034,41.5625,16.875,NA,5.013889,28.0625,20.92202,NA,NA,10.472222,28.40625,7.140625,24.75,22.541666,20.1875,26.3125,34.25,35.1875,6.226563,4.265625,21.90625,29.3125,8.421875,NA,33.05011,8.875,10.9375
"1996-02-14",0.246652,15.28125,13.640092,41.6875,16.75,NA,4.916667,27.75,21.045334,NA,NA,10.388889,28.5625,7.25,24.40625,22.583334,20.25,25.25,34.25,35.3125,6.171875,4.1875,21.4375,29.3125,8.375,NA,32.488033,8.8125,11.0625
"1996-02-15",0.25,15.15625,13.640092,41.25,16.65625,NA,4.940972,28,21.004229,NA,NA,10.666667,29.40625,7.1875,23.78125,22.583334,20.3125,25.5,33.75,34.8125,6.15625,4.226563,21.5625,30,8.375,NA,31.588713,8.71875,10.75
"1996-02-16",0.245536,15.46875,13.494208,40.8125,16.75,NA,4.944445,27.875,21.086437,NA,NA,10.527778,29.5,7.195313,23.53125,22.583334,20.125,25.125,33.25,34.375,6.117188,4.203125,21.53125,30,8.125,NA,30.745596,8.6875,10.625
"1996-02-20",0.258929,15.125,13.384796,40.375,16.96875,NA,5.069445,27.875,20.839813,NA,NA,10.166667,29.78125,7.234375,23.15625,22.25,20.15625,24.875,33.25,33.25,6.109375,4.148438,21.09375,29.1875,8.015625,NA,30.127312,8.59375,10.4375
"1996-02-21",0.264509,15.03125,13.676562,41.5,17.21875,NA,5.243055,28.1875,20.963125,NA,NA,10.305555,30.0625,7.40625,23.71875,23.083334,20.46875,25.8125,32.5,33.375,6.242188,4.195313,20.90625,29.4375,8.03125,NA,30.40835,8.71875,10.9375
"1996-02-22",0.266741,15.40625,13.713034,41.75,17.5625,NA,5.493055,29.0625,21.209749,NA,NA,10.5,31.03125,7.625,23.78125,23.541666,21,26.375,33.25,33.625,6.40625,4.15625,20.71875,29.4375,8.125,NA,30.745596,8.84375,11.1875
"1996-02-23",0.266741,15.3125,13.676562,41.8125,17.5,NA,5.513889,28.625,21.374166,NA,NA,10.388889,31.40625,7.601563,23.375,24.166666,20.78125,26,32.875,33.625,6.46875,4.0625,20.84375,29,8.140625,NA,30.576973,8.75,11.125
"1996-02-26",0.263393,15.21875,13.348325,40.875,17.3125,NA,5.555555,28.125,21.374166,NA,NA,9.972222,31.21875,7.546875,23.4375,23.375,20.4375,25.375,32.125,32.9375,6.289063,3.976563,20.875,28.625,8.0625,NA,29.790066,8.375,10.875
