PERMNO,date,RETX
10145,01/23/1991,0.041284
10145,01/24/1991,0.022026
10145,01/25/1991,0.004310
10145,01/28/1991,0.025751
10145,01/29/1991,0.012552
10145,01/30/1991,-0.016529
10145,01/31/1991,-0.025210
10145,02/01/1991,-0.008621
10145,02/04/1991,0.043478
10145,02/05/1991,0.004167
10145,02/06/1991,0.008299
10145,02/07/1991,0.045267
10145,02/08/1991,-0.035433
10145,02/11/1991,-0.020408
10145,02/12/1991,0.004167
10145,02/13/1991,0.033195
10145,02/14/1991,-0.036145
10145,02/15/1991,0.029167
10145,02/19/1991,-0.028340
10145,02/20/1991,-0.012500
10145,02/21/1991,0.004219
10145,02/22/1991,0.008403
10145,02/25/1991,0.000000
10145,02/26/1991,-0.016667
10145,02/27/1991,0.012712
10145,02/28/1991,-0.004184
10145,03/01/1991,0.008403
10145,03/04/1991,0.004167
10145,03/05/1991,0.008299
10145,03/06/1991,0.008230
10145,03/07/1991,-0.020408
10145,03/08/1991,0.000000
10145,03/11/1991,-0.016667
10145,03/12/1991,0.008475
10145,03/13/1991,0.004202
10145,03/14/1991,0.000000
10145,03/15/1991,0.000000
10145,03/18/1991,-0.008368
10145,03/19/1991,-0.012658
10145,03/20/1991,0.012821
10145,03/21/1991,-0.021097
10145,03/22/1991,-0.017241
10145,03/25/1991,-0.008772
10145,03/26/1991,-0.013274
10145,03/27/1991,0.022422
10145,03/28/1991,0.017544
10145,04/01/1991,0.004310
10145,04/02/1991,0.012876
10145,04/03/1991,0.004237
10145,04/04/1991,-0.016878
10145,04/05/1991,-0.008584
10145,04/08/1991,0.000000
10145,04/09/1991,-0.025974
10145,04/10/1991,-0.004444
10145,04/11/1991,0.008929
10145,04/12/1991,0.035398
10145,04/15/1991,-0.012821
10145,04/16/1991,0.021645
10145,04/17/1991,0.016949
10145,04/18/1991,-0.008333
10145,04/19/1991,0.000000
10145,04/22/1991,-0.008403
10145,04/23/1991,-0.008475
10145,04/24/1991,-0.025641
10145,04/25/1991,0.008772
10145,04/26/1991,0.013043
10145,04/29/1991,-0.012876
10145,04/30/1991,0.030435
10145,05/01/1991,-0.021097
10145,05/02/1991,0.017241
10145,05/03/1991,0.012712
10145,05/06/1991,-0.004184
10145,05/07/1991,-0.016807
10145,05/08/1991,0.021368
10145,05/09/1991,-0.008368
10145,05/10/1991,0.004219
10145,05/13/1991,-0.008403
10145,05/14/1991,-0.025424
10145,05/15/1991,-0.021739
10145,05/16/1991,-0.008889
10145,05/17/1991,0.004484
10145,05/20/1991,0.000000
10145,05/21/1991,0.004464
10145,05/22/1991,-0.004444
10145,05/23/1991,-0.004464
10145,05/24/1991,-0.008969
10145,05/28/1991,0.013575
10145,05/29/1991,0.026786
10145,05/30/1991,0.043478
10145,05/31/1991,-0.004167
10145,06/03/1991,0.000000
10145,06/04/1991,-0.004184
10145,06/05/1991,-0.004202
10145,06/06/1991,-0.008439
10145,06/07/1991,-0.034043
10145,06/10/1991,0.008811
10145,06/11/1991,-0.004367
10145,06/12/1991,0.008772
10145,06/13/1991,-0.004348
10145,06/14/1991,0.008734
10145,06/17/1991,0.004329
10145,06/18/1991,0.000000
10145,06/19/1991,-0.004310
10145,06/20/1991,0.008658
10145,06/21/1991,0.017167
10145,06/24/1991,0.008439
10145,06/25/1991,0.000000
10145,06/26/1991,-0.016736
10145,06/27/1991,0.131915
10145,06/28/1991,-0.007519
10145,07/01/1991,0.034091
10145,07/02/1991,0.014652
10145,07/03/1991,-0.018051
10145,07/05/1991,-0.003676
10145,07/08/1991,0.003690
10145,07/09/1991,0.025735
10145,07/10/1991,0.025090
10145,07/11/1991,0.010490
10145,07/12/1991,0.006920
10145,07/15/1991,-0.003436
10145,07/16/1991,0.037931
10145,07/17/1991,0.006645
10145,07/18/1991,0.003300
10145,07/19/1991,-0.006579
10145,07/22/1991,-0.036424
10145,07/23/1991,0.000000
10145,07/24/1991,-0.006873
10145,07/25/1991,0.027682
10145,07/26/1991,0.016835
10145,07/29/1991,0.009934
10145,07/30/1991,0.026230
10145,07/31/1991,-0.006390
10145,08/01/1991,-0.003215
10145,08/02/1991,0.009677
10145,08/05/1991,-0.031949
10145,08/06/1991,0.016502
10145,08/07/1991,-0.012987
10145,08/08/1991,0.003289
10145,08/09/1991,-0.009836
10145,08/12/1991,-0.006623
10145,08/13/1991,0.003333
10145,08/14/1991,0.003322
10145,08/15/1991,0.000000
10145,08/16/1991,0.006623
10145,08/19/1991,-0.029605
10145,08/20/1991,0.013559
10145,08/21/1991,0.010033
10145,08/22/1991,0.013245
10145,08/23/1991,0.026144
10145,08/26/1991,-0.006369
10145,08/27/1991,-0.016026
10145,08/28/1991,0.016287
10145,08/29/1991,-0.006410
10145,08/30/1991,-0.009677
10145,09/03/1991,-0.003257
10145,09/04/1991,0.006536
10145,09/05/1991,0.000000
10145,09/06/1991,-0.003247
10145,09/09/1991,0.006515
10145,09/10/1991,0.006472
10145,09/11/1991,-0.019293
10145,09/12/1991,0.006557
10145,09/13/1991,-0.013029
10145,09/16/1991,-0.013201
10145,09/17/1991,-0.020067
10145,09/18/1991,0.003413
10145,09/19/1991,0.003401
10145,09/20/1991,0.003390
10145,09/23/1991,0.000000
10145,09/24/1991,0.010135
10145,09/25/1991,0.006689
10145,09/26/1991,-0.006645
10145,09/27/1991,-0.026756
10145,09/30/1991,-0.003436
10145,10/01/1991,0.010345
10145,10/02/1991,-0.010239
10145,10/03/1991,-0.027586
10145,10/04/1991,-0.007092
10145,10/07/1991,0.000000
10145,10/08/1991,0.032143
10145,10/09/1991,0.117647
10145,10/10/1991,-0.043344
10145,10/11/1991,0.029126
10145,10/14/1991,-0.003145
10145,10/15/1991,0.003155
10145,10/16/1991,0.018868
10145,10/17/1991,-0.009259
10145,10/18/1991,0.015576
10145,10/21/1991,-0.003067
10145,10/22/1991,0.003077
10145,10/23/1991,0.000000
10145,10/24/1991,-0.018405
10145,10/25/1991,0.003125
10145,10/28/1991,-0.003115
10145,10/29/1991,0.031250
10145,10/30/1991,0.000000
10145,10/31/1991,0.006061
10145,11/01/1991,-0.012048
10145,11/04/1991,-0.006098
10145,11/05/1991,0.009202
10145,11/06/1991,0.021277
10145,11/07/1991,0.000000
10145,11/08/1991,-0.008929
10145,11/11/1991,-0.009009
10145,11/12/1991,0.012121
10145,11/13/1991,0.011976
10145,11/14/1991,0.017751
10145,11/15/1991,-0.055233
10145,11/18/1991,0.006154
10145,11/19/1991,-0.015291
10145,11/20/1991,-0.027950
10145,11/21/1991,-0.003195
10145,11/22/1991,-0.012821
10145,11/25/1991,0.009740
10145,11/26/1991,0.003215
10145,11/27/1991,0.000000
10145,11/29/1991,-0.003205
10145,12/02/1991,0.009646
10145,12/03/1991,-0.006369
10145,12/04/1991,0.009615
10145,12/05/1991,0.000000
10145,12/06/1991,-0.015873
10145,12/09/1991,0.006452
10145,12/10/1991,-0.025641
10145,12/11/1991,0.000000
10145,12/12/1991,0.000000
10145,12/13/1991,0.003289
10145,12/16/1991,-0.006557
10145,12/17/1991,-0.016502
10145,12/18/1991,-0.020134
10145,12/19/1991,0.010274
10145,12/20/1991,0.023729
10145,12/23/1991,0.006623
10145,12/24/1991,0.078947
10145,12/26/1991,0.003049
10145,12/27/1991,0.003040
10145,12/30/1991,0.069697
10145,12/31/1991,-0.005666
10145,01/02/1992,-0.042735
10145,01/03/1992,0.011905
10145,01/06/1992,0.014706
10145,01/07/1992,0.008696
10145,01/08/1992,0.025862
10145,01/09/1992,0.025210
10145,01/10/1992,-0.019126
10145,01/13/1992,-0.002786
10145,01/14/1992,0.016760
10145,01/15/1992,0.024725
10145,01/16/1992,0.000000
10145,01/17/1992,-0.008043
10145,01/20/1992,0.002703
10145,01/21/1992,0.005391
10145,01/22/1992,-0.005362
10145,01/23/1992,-0.013477
10145,01/24/1992,0.008197
10145,01/27/1992,0.002710
10145,01/28/1992,0.027027
10145,01/29/1992,0.021053
10145,01/30/1992,0.002577
10145,01/31/1992,0.017995
10145,02/03/1992,-0.005051
10145,02/04/1992,0.000000
10145,02/05/1992,0.005076
10145,02/06/1992,0.007576
10145,02/07/1992,-0.012531
10145,02/10/1992,0.010152
10145,02/11/1992,0.005025
10145,02/12/1992,0.007500
10145,02/13/1992,0.007444
10145,02/14/1992,0.002463
10145,02/18/1992,-0.002457
10145,02/19/1992,-0.017241
10145,02/20/1992,0.010025
10145,02/21/1992,-0.012407
10145,02/24/1992,-0.005025
10145,02/25/1992,-0.027778
10145,02/26/1992,0.005195
10145,02/27/1992,0.002584
10145,02/28/1992,0.023196
10145,03/02/1992,0.007557
10145,03/03/1992,0.030000
10145,03/04/1992,-0.024272
10145,03/05/1992,-0.019900
10145,03/06/1992,-0.005076
